Opcode	Instruction	64-bit Mode	Compat/32-bit-Legacy Mode	Description
0F 44 /r	CMOVZ r32, r/m32 	V	V	Move if zero (ZF=1).
REX.W+ 0F 44 /r	CMOVZ r64, r/m64	V	NE	Move if zero (ZF=1).
				
3C ib	CMP AL, imm8 	V	V	Compare imm8 with AL.
3D iw	CMP AX, imm16	V	V	Compare imm16 with AX.
3D id	CMP EAX, imm32 	V	V	Compare imm32 with EAX.
REX.W+ 3D id	CMP RAX, imm32	V	NE	Compare imm32 sign-extended to 64-bits with RAX.
80 /7 ib	CMP r/m8, imm8 	V	V	Compare imm8 with r/m8.
REX+ 80 /7 ib	CMP r/m8, imm8	V	NE	Compare imm8 with r/m8.
81 /7 iw	CMP r/m16, imm16 	V	V	Compare imm16 with r/m16.
81 /7 id	CMP r/m32, imm32 	V	V	Compare imm32 with r/m32.
REX.W+ 81 /7 id	CMP r/m64, imm32	V	NE	Compare imm32 sign-extended to 64-bits with r/m64.
83 /7 ib	CMP r/m16, imm8 	V	V	Compare imm8 with r/m16.
83 /7 ib	CMP r/m32, imm8 	V	V	Compare imm8 with r/m32.
REX.W+ 83 /7 ib	CMP r/m64, imm8 	V	NE	Compare imm8 with r/m64.
38 /r	CMP r/m8, r8 	V	V	Compare r8 with r/m8.
REX+ 38 /r	CMP r/m8, r8	V	NE	Compare r8 with r/m8.
39 /r	CMP r/m16, r16 	V	V	Compare r16 with r/m16.
39 /r	CMP r/m32, r32 	V	V	Compare r32 with r/m32.
REX.W+ 39 /r	CMP r/m64, r64 	V	NE	Compare r64 with r/m64.
3A /r	CMP r8, r/m8 	V	V	Compare r/m8 with r8.
REX+ 3A /r	CMP r8, r/m8	V	NE	Compare r/m8 with r8.
3B /r	CMP r16, r/m16 	V	V	Compare r/m16 with r16.
3B /r	CMP r32, r/m32 	V	V	Compare r/m32 with r32.
REX.W+ 3B /r	CMP r64, r/m64	V	NE	Compare r/m64 with r64.
				
66 0F C2 /r ib	CMPPD xmm1, xmm2/m128, imm8	V	V	Compare packed double-precision floating- point values in xmm2/m128 and xmm1 using imm8 as comparison predicate.
VEX.NDS.128.66.0F.WIG C2 /r ib	VCMPPD xmm1, xmm2, xmm3/m128, imm8	V	V	Compare packed double-precision floating- point values in xmm3/m128 and xmm2 using bits 4:0 of imm8 as a comparison predicate.
VEX.NDS.256.66.0F.WIG C2 /r ib	VCMPPD ymm1, ymm2, ymm3/m256, imm8	V	V	Compare packed double-precision floating- point values in ymm3/m256 and ymm2 using bits 4:0 of imm8 as a comparison predicate.
				
0F C2 /r ib	CMPPS xmm1, xmm2/m128, imm8	V	V	Compare packed single-precision floating- point values in xmm2/mem and xmm1 using imm8 as comparison predicate.
VEX.NDS.128.0F.WIG C2 /r ib	VCMPPS xmm1, xmm2, xmm3/m128, imm8	V	V	Compare packed single-precision floating- point values in xmm3/m128 and xmm2 using bits 4:0 of imm8 as a comparison predicate.
VEX.NDS.256.0F.WIG C2 /r ib	VCMPPS ymm1, ymm2, ymm3/m256, imm8	V	V	Compare packed single-precision floating- point values in ymm3/m256 and ymm2 using bits 4:0 of imm8 as a comparison predicate.
				
A6	CMPS m8, m8	V	V	For legacy mode, compare byte at address DS:(E)SI with byte at address ES:(E)DI; For 64-bit mode compare byte at address (R|E)SI to byte at address (R|E)DI. The status flags are set accordingly.
A7	CMPS m16, m16	V	V	For legacy mode, compare word at address DS:(E)SI with word at address ES:(E)DI; For 64-bit mode compare word at address (R|E)SI with word at address (R|E)DI. The status flags are set accordingly.
A7	CMPS m32, m32	V	V	For legacy mode, compare dword at address DS:(E)SI at dword at address ES:(E)DI; For 64-bit mode compare dword at address (R|E)SI at dword at address (R|E)DI. The status flags are set accordingly.
REX.W+ A7 	CMPS m64, m64 	V	NE	Compares quadword at address (R|E)SI with quadword at address (R|E)DI and sets the status flags accordingly.
A6	CMPSB	V	V	For legacy mode, compare byte at address DS:(E)SI with byte at address ES:(E)DI; For 64- bit mode compare byte at address (R|E)SI with byte at address (R|E)DI. The status flags are set accordingly.
PREF.66+ A7	CMPSW	V	V	For legacy mode, compare word at address DS:(E)SI with word at address ES:(E)DI; For 64- bit mode compare word at address (R|E)SI with word at address (R|E)DI. The status flags are set accordingly.
A7	CMPSD	V	V	For legacy mode, compare dword at address DS:(E)SI with dword at address ES:(E)DI; For 64-bit mode compare dword at address (R|E)SI with dword at address (R|E)DI. The status flags are set accordingly.
REX.W+ A7	CMPSQ	V	NE	Compares quadword at address (R|E)SI with quadword at address (R|E)DI and sets the status flags accordingly.
				
F2 0F C2 /r ib	CMPSD xmm1, xmm2/m64, imm8	V	V	Compare low double-precision floating-point value in xmm2/m64 and xmm1 using imm8 as comparison predicate.
VEX.NDS.LIG.F2.0F.WIG C2 /r ib	VCMPSD xmm1, xmm2, xmm3/m64, imm8	V	V	Compare low double precision floating-point value in xmm3/m64 and xmm2 using bits 4:0 of imm8 as comparison predicate.
				
F3 0F C2 /r ib	CMPSS xmm1, xmm2/m32, imm8	V	V	Compare low single-precision floating-point value in xmm2/m32 and xmm1 using imm8 as comparison predicate.
VEX.NDS.LIG.F3.0F.WIG C2 /r ib	VCMPSS xmm1, xmm2, xmm3/m32, imm8	V	V	Compare low single precision floating-point value in xmm3/m32 and xmm2 using bits 4:0 of imm8 as comparison predicate.
				
0F B0 /r	CMPXCHG r/m8, r8	V	V	Compare AL with r/m8. If equal, ZF is set and r8 is loaded into r/m8. Else, clear ZF and load r/m8 into AL.
REX+ 0F B0 /r	CMPXCHG r/m8,r8	V	NE	Compare AL with r/m8. If equal, ZF is set and r8 is loaded into r/m8. Else, clear ZF and load r/m8 into AL.
0F B1 /r	CMPXCHG r/m16, r16	V	V	Compare AX with r/m16. If equal, ZF is set and r16 is loaded into r/m16. Else, clear ZF and load r/m16 into AX.
0F B1 /r	CMPXCHG r/m32, r32	V	V	Compare EAX with r/m32. If equal, ZF is set and r32 is loaded into r/m32. Else, clear ZF and load r/m32 into EAX.
REX.W+ 0F B1 /r	CMPXCHG r/m64, r64	V	NE	Compare RAX with r/m64. If equal, ZF is set and r64 is loaded into r/m64. Else, clear ZF and load r/m64 into RAX.
				
0F C7 /1	CMPXCHG8B m64	V	V	Compare EDX:EAX with m64. If equal, set ZF and load ECX:EBX into m64. Else, clear ZF and load m64 into EDX:EAX.
REX.W+ 0F C7 /1	CMPXCHG16B m128	V	NE	Compare RDX:RAX with m128. If equal, set ZF and load RCX:RBX into m128. Else, clear ZF and load m128 into RDX:RAX.
				
66 0F 2F /r	COMISD xmm1, xmm2/m64	V	V	Compare low double-precision floating-point values in xmm1 and xmm2/mem64 and set the EFLAGS flags accordingly.
VEX.LIG.66.0F.WIG 2F /r	VCOMISD xmm1, xmm2/m64	V	V	Compare low double precision floating-point values in xmm1 and xmm2/mem64 and set the EFLAGS flags accordingly.
				
0F 2F /r	COMISS xmm1, xmm2/m32	V	V	Compare low single-precision floating-point values in xmm1 and xmm2/mem32 and set the EFLAGS flags accordingly.
VEX.LIG.0F.2F.WIG /r	VCOMISS xmm1, xmm2/m32	V	V	Compare low single precision floating-point values in xmm1 and xmm2/mem32 and set the EFLAGS flags accordingly.
				
0F A2	CPUID	V	V	Returns processor identification and feature information to the EAX, EBX, ECX, and EDX registers, as determined by input entered in EAX (in some cases, ECX as well).
				
F2 0F 38 F0 /r	CRC32 r32, r/m8	V	V	Accumulate CRC32 on r/m8.
F2 REX+ 0F 38 F0 /r	CRC32 r32, r/m8	V	NE	Accumulate CRC32 on r/m8.
F2 0F 38 F1 /r	CRC32 r32, r/m16	V	V	Accumulate CRC32 on r/m16.
F2 0F 38 F1 /r	CRC32 r32, r/m32	V	V	Accumulate CRC32 on r/m32.
F2 REX.W+ 0F 38 F0 /r	CRC32 r64, r/m8	V	NE	Accumulate CRC32 on r/m8.
F2 REX.W+ 0F 38 F1 /r	CRC32 r64, r/m64	V	NE	Accumulate CRC32 on r/m64.
				
F3 0F E6	CVTDQ2PD xmm1, xmm2/m64	V	V	Convert two packed signed doubleword integers from xmm2/m128 to two packed double-precision floating-point values in xmm1.
VEX.128.F3.0F.WIG E6 /r	VCVTDQ2PD xmm1, xmm2/m64	V	V	Convert two packed signed doubleword integers from xmm2/mem to two packed double-precision floating-point values in xmm1.
VEX.256.F3.0F.WIG E6 /r	VCVTDQ2PD ymm1, ymm2/m128	V	V	Convert four packed signed doubleword integers from ymm2/mem to four packed double-precision floating-point values in ymm1.
				
0F 5B /r	CVTDQ2PS xmm1, xmm2/m128	V	V	Convert four packed signed doubleword integers from xmm2/m128 to four packed single-precision floating-point values in xmm1.
VEX.128.0F.WIG 5B /r	VCVTDQ2PS xmm1, xmm2/m128	V	V	Convert four packed signed doubleword integers from xmm2/mem to four packed single-precision floating-point values in xmm1.
VEX.256.0F.WIG 5B /r	VCVTDQ2PS ymm1, ymm2/m256	V	V	Convert eight packed signed doubleword integers from ymm2/mem to eight packed single-precision floating-point values in ymm1.
				
F2 0F E6	CVTPD2DQ xmm1, xmm2/m128	V	V	Convert two packed double-precision floating- point values from xmm2/m128 to two packed signed doubleword integers in xmm1.
VEX.128.F2.0F.WIG E6 /r	VCVTPD2DQ xmm1, xmm2/m128	V	V	Convert two packed double-precision floating- point values in xmm2/mem to two signed doubleword integers in xmm1.
VEX.256.F2.0F.WIG E6 /r	VCVTPD2DQ xmm1, ymm2/m256	V	V	Convert four packed double-precision floating- point values in ymm2/mem to four signed doubleword integers in xmm1.
				
66 0F 2D /r	CVTPD2PI mm, xmm/m128	V	V	Convert two packed double-precision floating- point values from xmm/m128 to two packed signed doubleword integers in mm.
				
66 0F 5A /r	CVTPD2PS xmm1, xmm2/m128	V	V	Convert two packed double-precision floating- point values in xmm2/m128 to two packed single-precision floating-point values in xmm1.
VEX.128.66.0F.WIG 5A /r	VCVTPD2PS xmm1, xmm2/m128	V	V	Convert two packed double-precision floating- point values in xmm2/mem to two single- precision floating-point values in xmm1.
VEX.256.66.0F.WIG 5A /r	VCVTPD2PS xmm1, ymm2/m256	V	V	Convert four packed double-precision floating- point values in ymm2/mem to four single- precision floating-point values in xmm1.
				
66 0F 2A /r	CVTPI2PD xmm, mm/m64	V	V	Convert two packed signed doubleword integers from mm/mem64 to two packed double-precision floating-point values in xmm.
				
0F 2A /r	CVTPI2PS xmm, mm/m64	V	V	Convert two signed doubleword integers from mm/m64 to two single-precision floating-point values in xmm.
				
66 0F 5B /r	CVTPS2DQ xmm1, xmm2/m128	V	V	Convert four packed single-precision floating- point values from xmm2/m128 to four packed signed doubleword integers in xmm1.
VEX.128.66.0F.WIG 5B /r	VCVTPS2DQ xmm1, xmm2/m128	V	V	Convert four packed single precision floating- point values from xmm2/mem to four packed signed doubleword values in xmm1.
VEX.256.66.0F.WIG 5B /r	VCVTPS2DQ ymm1, ymm2/m256	V	V	Convert eight packed single precision floating- point values from ymm2/mem to eight packed signed doubleword values in ymm1.
				
0F 5A /r	CVTPS2PD xmm1, xmm2/m64	V	V	Convert two packed single-precision floating- point values in xmm2/m64 to two packed double-precision floating-point values in xmm1.
VEX.128.0F.WIG 5A /r	VCVTPS2PD xmm1, xmm2/m64	V	V	Convert two packed single-precision floating- point values in xmm2/mem to two packed double-precision floating-point values in xmm1.
VEX.256.0F.WIG 5A /r	VCVTPS2PD ymm1, xmm2/m128	V	V	Convert four packed single-precision floating- point values in xmm2/mem to four packed double-precision floating-point values in ymm1.
				
0F 2D /r	CVTPS2PI mm, xmm/m64	V	V	Convert two packed single-precision floating- point values from xmm/m64 to two packed signed doubleword integers in mm.
				
F2 0F 2D /r	CVTSD2SI r32, xmm/m64	V	V	Convert one double-precision floating-point value from xmm/m64 to one signed doubleword integer r32.
F2 REX.w+ 0F 2D /r	CVTSD2SI r64, xmm/m64	V	NE	Convert one double-precision floating-point value from xmm/m64 to one signed quadword integer sign-extended into r64.
VEX.LIG.F2.0F.W0 2D /r	VCVTSD2SI r32, xmm1/m64	V	V	Convert one double precision floating-point value from xmm1/m64 to one signed doubleword integer r32.
VEX.LIG.F2.0F.W1 2D /r	VCVTSD2SI r64, xmm1/m64	V	NE	Convert one double precision floating-point value from xmm1/m64 to one signed quadword integer sign-extended into r64.
				
F2 0F 5A /r	CVTSD2SS xmm1, xmm2/m64	V	V	Convert one double-precision floating-point value in xmm2/m64 to one single-precision floating-point value in xmm1.
VEX.NDS.LIG.F2.0F.WIG 5A /r	VCVTSD2SS xmm1,xmm2, xmm3/m64	V	V	Convert one double-precision floating-point value in xmm3/m64 to one single-precision floating-point value and merge with high bits in xmm2.
				
F2 0F 2A /r	CVTSI2SD xmm, r/m32	V	V	Convert one signed doubleword integer from r/m32 to one double-precision floating-point value in xmm.
F2 REX.w+ 0F 2A /r	CVTSI2SD xmm, r/m64	V	NE	Convert one signed quadword integer from r/m64 to one double-precision floating-point value in xmm.
VEX.NDS.LIG.F2.0F.W0 2A /r	VCVTSI2SD xmm1, xmm2, r/m32	V	V	Convert one signed doubleword integer from r/m32 to one double-precision floating-point value in xmm1.
VEX.NDS.LIG.F2.0F.W1 2A /r	VCVTSI2SD xmm1, xmm2, r/m64	V	NE	Convert one signed quadword integer from r/m64 to one double-precision floating-point value in xmm1.
				
F3 0F 2A /r	CVTSI2SS xmm, r/m32	V	V	Convert one signed doubleword integer from r/m32 to one single-precision floating-point value in xmm.
F3 REX.w+ 0F 2A /r	CVTSI2SS xmm, r/m64	V	NE	Convert one signed quadword integer from r/m64 to one single-precision floating-point value in xmm.
VEX.NDS.LIG.F3.0F.W0 2A /r	VCVTSI2SS xmm1, xmm2, r/m32	V	V	Convert one signed doubleword integer from r/m32 to one single-precision floating-point value in xmm1.
VEX.NDS.LIG.F3.0F.W1 2A /r	VCVTSI2SS xmm1, xmm2, r/m64	V	NE	Convert one signed quadword integer from r/m64 to one single-precision floating-point value in xmm1.
				
F3 0F 5A /r	CVTSS2SD xmm1, xmm2/m32	V	V	Convert one single-precision floating-point value in xmm2/m32 to one double-precision floating-point value in xmm1.
VEX.NDS.LIG.F3.0F.WIG 5A /r	VCVTSS2SD xmm1, xmm2, xmm3/m32	V	V	Convert one single-precision floating-point value in xmm3/m32 to one double-precision floating-point value and merge with high bits of xmm2.
				
F3 0F 2D /r	CVTSS2SI r32, xmm/m32	V	V	Convert one single-precision floating-point value from xmm/m32 to one signed doubleword integer in r32.
F3 REX.w+ 0F 2D /r	CVTSS2SI r64, xmm/m32	V	NE	Convert one single-precision floating-point value from xmm/m32 to one signed quadword integer in r64.
VEX.LIG.F3.0F.W0 2D /r	VCVTSS2SI r32, xmm1/m32	V	V	Convert one single-precision floating-point value from xmm1/m32 to one signed doubleword integer in r32.
VEX.LIG.F3.0F.W1 2D /r	VCVTSS2SI r64, xmm1/m32	V	NE	Convert one single-precision floating-point value from xmm1/m32 to one signed quadword integer in r64.
				
66 0F E6	CVTTPD2DQ xmm1, xmm2/m128	V	V	Convert two packed double-precision floating- point values from xmm2/m128 to two packed signed doubleword integers in xmm1 using truncation.
VEX.128.66.0F.WIG E6 /r	VCVTTPD2DQ xmm1, xmm2/m128	V	V	Convert two packed double-precision floating- point values in xmm2/mem to two signed doubleword integers in xmm1 using truncation.
VEX.256.66.0F.WIG E6 /r	VCVTTPD2DQ xmm1, ymm2/m256	V	V	Convert four packed double-precision floating- point values in ymm2/mem to four signed doubleword integers in xmm1 using truncation.
				
66 0F 2C /r	CVTTPD2PI mm, xmm/m128	V	V	Convert two packer double-precision floating- point values from xmm/m128 to two packed signed doubleword integers in mm using truncation.
				
F3 0F 5B /r	CVTTPS2DQ xmm1, xmm2/m128	V	V	Convert four single-precision floating-point values from xmm2/m128 to four signed doubleword integers in xmm1 using truncation.
VEX.128.F3.0F.WIG 5B /r	VCVTTPS2DQ xmm1, xmm2/m128	V	V	Convert four packed single precision floating- point values from xmm2/mem to four packed signed doubleword values in xmm1 using truncation.
VEX.256.F3.0F.WIG 5B /r	VCVTTPS2DQ ymm1, ymm2/m256	V	V	Convert eight packed single precision floating- point values from ymm2/mem to eight packed signed doubleword values in ymm1 using truncation.
				
0F 2C /r	CVTTPS2PI mm, xmm/m64	V	V	Convert two single-precision floating-point values from xmm/m64 to two signed doubleword signed integers in mm using truncation.
				
F2 0F 2C /r	CVTTSD2SI r32, xmm/m64	V	V	Convert one double-precision floating-point value from xmm/m64 to one signed doubleword integer in r32 using truncation.
F2 REX.w+ 0F 2C /r	CVTTSD2SI r64, xmm/m64	V	NE	Convert one double precision floating-point value from xmm/m64 to one signedquadword integer in r64 using truncation.
VEX.LIG.F2.0F.W0 2C /r	VCVTTSD2SI r32, xmm1/m64	V	V	Convert one double-precision floating-point value from xmm1/m64 to one signed doubleword integer in r32 using truncation.
VEX.LIG.F2.0F.W1 2C /r	VCVTTSD2SI r64, xmm1/m64	V	NE	Convert one double precision floating-point value from xmm1/m64 to one signed quadword integer in r64 using truncation.
				
F3 0F 2C /r	CVTTSS2SI r32, xmm/m32	V	V	Convert one single-precision floating-point value from xmm/m32 to one signed doubleword integer in r32 using truncation.
F3 REX.w+ 0F 2C /r	CVTTSS2SI r64, xmm/m32	V	NE	Convert one single-precision floating-point value from xmm/m32 to one signed quadword integer in r64 using truncation.
VEX.LIG.F3.0F.W0 2C /r	VCVTTSS2SI r32, xmm1/m32	V	V	Convert one single-precision floating-point value from xmm1/m32 to one signed doubleword integer in r32 using truncation.
VEX.LIG.F3.0F.W1 2C /r	VCVTTSS2SI r64, xmm1/m32	V	NE	Convert one single-precision floating-point value from xmm1/m32 to one signed quadword integer in r64 using truncation.
				
PREF.66+ 99	CWD	V	V	DX:AX = sign-extend of AX.
99	CDQ	V	V	EDX:EAX = sign-extend of EAX.
REX.W+ 99	CQO	V	NE	RDX:RAX = sign-extend of RAX.
				
27	DAA	I	V	Decimal adjust AL after addition.
				
2F	DAS	I	V	Decimal adjust AL after subtraction.
				
FE /1	DEC r/m8 	V	V	Decrement r/m8 by 1.
REX+ FE /1	DEC r/m8	V	NE	Decrement r/m8 by 1.
FF /1	DEC r/m16 	V	V	Decrement r/m16 by 1.
FF /1	DEC r/m32 	V	V	Decrement r/m32 by 1.
REX.W+ FF /1	DEC r/m64 	V	NE	Decrement r/m64 by 1.
48 +rw	DEC r16 	NE	V	Decrement r16 by 1.
48 +rd	DEC r32	NE	V	Decrement r32 by 1.
				
F6 /6	DIV r/m8	V	V	Unsigned divide AX by r/m8, with result stored in AL = Quotient, AH = Remainder.
REX+ F6 /6	DIV r/m8	V	NE	Unsigned divide AX by r/m8, with result stored in AL = Quotient, AH = Remainder.
F7 /6	DIV r/m16 	V	V	Unsigned divide DX:AX by r/m16, with result stored in AX = Quotient, DX = Remainder.
F7 /6	DIV r/m32	V	V	Unsigned divide EDX:EAX by r/m32, with result stored in EAX = Quotient, EDX = Remainder.
REX.W+ F7 /6	DIV r/m64	V	NE	Unsigned divide RDX:RAX by r/m64, with result stored in RAX = Quotient, RDX = Remainder.
				
66 0F 5E /r	DIVPD xmm1, xmm2/m128	V	V	Divide packed double-precision floating-point values in xmm1 by packed double-precision floating-point values xmm2/m128.
VEX.NDS.128.66.0F.WIG 5E /r	VDIVPD xmm1, xmm2, xmm3/m128	V	V	Divide packed double-precision floating-point values in xmm2 by packed double-precision floating-point values in xmm3/mem.
VEX.NDS.256.66.0F.WIG 5E /r	VDIVPD ymm1, ymm2, ymm3/m256	V	V	Divide packed double-precision floating-point values in ymm2 by packed double-precision floating-point values in ymm3/mem.
				
0F 5E /r	DIVPS xmm1, xmm2/m128	V	V	Divide packed single-precision floating-point values in xmm1 by packed single-precision floating-point values xmm2/m128.
VEX.NDS.128.0F.WIG 5E /r	VDIVPS xmm1, xmm2, xmm3/m128	V	V	Divide packed single-precision floating-point values in xmm2 by packed double-precision floating-point values in xmm3/mem.
VEX.NDS.256.0F.WIG 5E /r	VDIVPS ymm1, ymm2, ymm3/m256	V	V	Divide packed single-precision floating-point values in ymm2 by packed double-precision floating-point values in ymm3/mem.
				
F2 0F 5E /r	DIVSD xmm1, xmm2/m64	V	V	Divide low double-precision floating-point value in xmm1 by low double-precision floating-point value in xmm2/mem64.
VEX.NDS.LIG.F2.0F.WIG 5E /r	VDIVSD xmm1, xmm2, xmm3/m64	V	V	Divide low double-precision floating point values in xmm2 by low double precision floating-point value in xmm3/mem64.
				
F3 0F 5E /r	DIVSS xmm1, xmm2/m32	V	V	Divide low single-precision floating-point value in xmm1 by low single-precision floating-point value in xmm2/m32.
VEX.NDS.LIG.F3.0F.WIG 5E /r	VDIVSS xmm1, xmm2, xmm3/m32	V	V	Divide low single-precision floating point value in xmm2 by low single precision floating-point value in xmm3/m32.
				
66 0F 3A 41 /r ib	DPPD xmm1, xmm2/m128, imm8	V	V	Selectively multiply packed DP floating-point values from xmm1 with packed DP floating- point values from xmm2, add and selectively store the packed DP floating-point values to xmm1.
VEX.NDS.128.66.0F3A.WIG 41 /r ib	VDPPD xmm1, xmm2, xmm3/m128, imm8	V	V	Selectively multiply packed DP floating-point values from xmm2 with packed DP floating- point values from xmm3, add and selectively store the packed DP floating-point values to xmm1.
				
66 0F 3A 40 /r ib	DPPS xmm1, xmm2/m128, imm8	V	V	Selectively multiply packed SP floating-point values from xmm1 with packed SP floating- point values from xmm2, add and selectively store the packed SP floating-point values or zero values to xmm1.
VEX.NDS.128.66.0F3A.WIG 40 /r ib	VDPPS xmm1, xmm2, xmm3/m128, imm8	V	V	Multiply packed SP floating point values from xmm1 with packed SP floating point values from xmm2/mem selectively add and store to xmm1.
VEX.NDS.256.66.0F3A.WIG 40 /r ib	VDPPS ymm1, ymm2, ymm3/m256, imm8	V	V	Multiply packed single-precision floating-point values from ymm2 with packed SP floating point values from ymm3/mem, selectively add pairs of elements and store to ymm1.
				
0F 77	EMMS	V	V	Set the x87 FPU tag word to empty.
				
C8 iw 00 	ENTER imm16, 0	V	V	Create a stack frame for a procedure.
C8 iw 01	ENTER imm16, 1 	V	V	Create a nested stack frame for a procedure.
C8 iw ib	ENTER imm16, imm8	V	V	Create a nested stack frame for a procedure.
				
66 0F 3A 17 /r ib	EXTRACTPS reg/m32, xmm2, imm8	V	V	Extract a single-precision floating-point value from xmm2 at the source offset specified by imm8 and store the result to reg or m32. The upper 32 bits of r64 is zeroed if reg is r64.
VEX.128.66.0F3A.WIG 17 /r ib	VEXTRACTPS r/m32, xmm1, imm8	V	V	Extract one single-precision floating-point value from xmm1 at the offset specified by imm8 and store the result in reg or m32. Zero extend the results in 64-bit register if applicable.
				
D9 F0	F2XM1	V	V	Replace ST(0) with (2^(ST(0)) – 1).
				
D9 E1	FABS	V	V	Replace ST with its absolute value.
				
D8 /0	FADD m32fp 	V	V	Add m32fp to ST(0) and store result in ST(0).
DC /0	FADD m64fp 	V	V	Add m64fp to ST(0) and store result in ST(0).
D8 C0 +i	FADD ST(0), ST(i) 	V	V	Add ST(0) to ST(i) and store result in ST(0).
DC C0 +i	FADD ST(i), ST(0) 	V	V	Add ST(i) to ST(0) and store result in ST(i).
